City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,saurimo,-9.6608,20.3916,70.84,70.84,100,4.54,AO,1669012998
89,san quintin,30.4833,-115.95,60.24,60.24,98,1.07,MX,1669012792
90,qui nhon,13.7667,109.2333,78.91,78.91,100,7.92,VN,1669013000
91,ribeira grande,38.5167,-28.7,64.78,64.78,97,3.0,PT,1669013000
92,novyy urengoy,66.0833,76.6333,-4.43,-4.43,100,14.9,RU,1669013001
93,kamaishi,39.2667,141.8833,54.68,54.68,69,4.41,JP,1669013002
94,butaritari,3.0707,172.7902,80.87,80.87,6,12.26,KI,1669013002
95,provideniya,64.3833,-173.3,17.31,17.31,100,12.86,RU,1669012786
96,nong khai,17.9167,103.0833,93.29,89.04,6,2.39,TH,1669013003
97,tuktoyaktuk,69.4541,-133.0374,21.2,21.2,100,3.44,CA,1669013004
98,listvyanskiy,54.4399,83.4984,11.23,11.23,100,8.88,RU,1669013004
99,itacare,-14.2775,-38.9967,71.24,71.24,87,4.23,BR,1669013005
100,port alfred,-33.5906,26.891,68.18,68.18,0,5.01,ZA,1669013006
101,diamantino,-14.4086,-56.4461,71.28,71.28,2,5.23,BR,1669012834
102,hithadhoo,-0.6,73.0833,80.71,80.71,95,8.79,MV,1669013007
103,krasnoselkup,65.7,82.4667,-19.71,-19.71,67,7.96,RU,1669013007
104,tasiilaq,65.6145,-37.6368,35.02,35.02,100,9.89,GL,1669013008
105,harper,4.375,-7.7169,76.57,76.57,95,2.39,LR,1669013009
106,bom jesus,-9.0744,-44.3586,70.02,70.02,87,2.21,BR,1669013010
107,los llanos de aridane,28.6585,-17.9182,63.12,62.35,75,11.5,ES,1669012777
108,castro,-24.7911,-50.0119,57.9,57.9,15,4.92,BR,1669012719
109,sungaipenuh,-2.0833,101.3833,78.85,78.85,96,6.35,ID,1669013011
110,luangwa,-15.6167,30.4167,86.22,86.22,87,13.91,ZM,1669013012
111,korla,41.7597,86.1469,45.1,45.1,100,9.37,CN,1669013012
112,phayao,19.25,100.25,88.2,88.2,76,2.59,TH,1669013013
113,pachino,36.7186,15.0907,59.31,59.31,0,20.71,IT,1669013014
114,tiksi,71.6872,128.8694,-18.2,-18.2,93,3.4,RU,1669013014
115,arlit,18.7369,7.3853,72.21,72.21,15,5.19,NE,1669013015
116,port elizabeth,-33.918,25.5701,71.31,68.29,20,6.91,ZA,1669013016
117,zwedru,6.0667,-8.1281,70.66,70.66,100,0.31,LR,1669013016
118,cortez,37.3489,-108.5859,24.69,16.56,0,8.05,US,1669013017
119,fortuna,40.5982,-124.1573,43.09,40.12,0,11.5,US,1669013017
120,bonavista,48.6499,-53.1147,38.53,38.53,5,24.96,CA,1669013018
121,ahipara,-35.1667,173.1667,63.86,63.86,100,11.63,NZ,1669013019
122,balkanabat,39.5108,54.3671,61.66,61.66,8,5.57,TM,1669013020
123,lagoa,39.05,-27.9833,63.77,63.77,99,0.25,PT,1669013020
124,jinchang,38.4953,102.1739,45.09,45.09,100,3.74,CN,1669013021
125,te anau,-45.4167,167.7167,50.76,50.76,100,5.68,NZ,1669013022
126,esperance,-33.8667,121.9,61.81,61.81,2,15.12,AU,1669013022
127,piranhas,-16.4269,-51.8222,69.24,69.24,7,2.48,BR,1669013023
128,can tho,10.0333,105.7833,82.38,82.38,75,1.14,VN,1669013024
129,zhigansk,66.7697,123.3711,-28.46,-28.46,98,2.55,RU,1669013024
130,antalaha,-14.9003,50.2788,80.42,80.42,4,10.4,MG,1669013025
131,portland,45.5234,-122.6762,42.21,34.43,0,8.05,US,1669012227
132,katsuura,35.1333,140.3,62.06,62.06,81,9.06,JP,1669013026
133,nioki,-2.7167,17.6833,74.32,74.32,100,2.48,CD,1669013027
134,fairbanks,64.8378,-147.7164,15.98,10.09,100,0.0,US,1669012784
135,ponta do sol,32.6667,-17.1,65.03,62.13,6,4.43,PT,1669013028
136,talnakh,69.4865,88.3972,-19.03,-19.03,100,2.26,RU,1669013028
137,vila franca do campo,37.7167,-25.4333,68.2,66.61,100,7.07,PT,1669013029
138,kajaani,64.2273,27.7285,21.25,21.25,100,1.14,FI,1669013030
139,meulaboh,4.1363,96.1285,83.26,83.26,95,6.13,ID,1669013030
140,luderitz,-26.6481,15.1594,69.64,69.64,92,13.09,,1669013031
141,husavik,66.0449,-17.3389,42.89,42.89,100,12.97,IS,1669013032
142,guerrero negro,27.9769,-114.0611,60.24,60.24,43,2.75,MX,1669012786
143,mogadishu,2.0371,45.3438,84.07,84.07,75,4.61,SO,1669012901
144,kodiak,57.79,-152.4072,38.71,38.71,100,4.61,US,1669013033
145,morvi,22.8167,70.8333,86.18,86.18,0,7.9,IN,1669013034
146,kushikino,31.7167,130.2667,72.86,72.09,2,8.9,JP,1669013034
147,yarega,63.4354,53.5765,26.71,26.71,99,7.34,RU,1669013035
148,chokurdakh,70.6333,147.9167,-33.14,-33.14,98,1.86,RU,1669013036
149,gimli,50.6336,-96.9907,24.82,24.82,44,12.66,CA,1669013036
150,aksu,41.1231,80.2644,47.07,47.07,4,3.42,CN,1669013037
151,careiro da varzea,-3.2003,-59.8119,81.23,81.21,80,2.89,BR,1669013037
152,vaini,-21.2,-175.2,77.97,77.97,100,8.55,TO,1669013038
153,swakopmund,-22.6833,14.5333,59.99,59.99,100,3.0,,1669013039
154,baltasi,56.3462,50.2062,20.3,20.3,46,0.85,RU,1669013039
155,khatanga,71.9667,102.5,-34.49,-34.49,39,3.87,RU,1669013040
156,hajnowka,52.7433,23.5812,25.09,25.09,90,4.03,PL,1669013041
157,axams,47.2081,11.2869,32.29,22.64,75,2.3,AT,1669013042
158,cocorit,27.5833,-109.9667,60.48,60.48,1,1.61,MX,1669013042
159,zima,53.9202,102.0442,14.25,14.25,100,4.29,RU,1669013043
160,manokwari,-0.8667,134.0833,83.43,83.43,25,3.27,ID,1669013043
161,puerto ayora,-0.7393,-90.3518,67.55,67.55,74,7.0,EC,1669013044
162,kutum,14.2,24.6667,68.65,68.65,0,6.46,SD,1669013045
163,codrington,-38.2667,141.9667,50.65,50.65,28,28.97,AU,1669013045
164,henties bay,-22.116,14.2845,63.46,63.46,100,7.25,,1669013046
165,olafsvik,64.8945,-23.7142,42.67,42.67,72,12.88,IS,1669013047
166,kalulushi,-12.8378,28.0919,81.16,81.16,10,7.47,ZM,1669013047
167,cabedelo,-6.9811,-34.8339,74.07,74.07,36,11.61,BR,1669013048
168,ibotirama,-12.1853,-43.2206,68.65,68.65,99,2.68,BR,1669013048
169,pisco,-13.7,-76.2167,62.65,62.02,86,0.0,PE,1669013049
170,harlingen,26.1906,-97.6961,49.05,46.94,100,14.97,US,1669012618
171,thompson,55.7435,-97.8558,14.16,14.16,75,8.05,CA,1669012801
172,atar,20.5169,-13.0499,67.84,67.84,0,10.25,MR,1669013050
173,mehamn,71.0357,27.8492,37.35,35.51,75,10.36,NO,1669013051
174,khash,28.2211,61.2158,62.33,62.33,33,7.27,IR,1669013052
175,daan,33.0558,106.2958,49.06,49.06,100,3.0,CN,1669013053
176,nyurba,63.2842,118.3319,-15.5,-15.5,67,2.15,RU,1669013053
177,taunggyi,20.7833,97.0333,77.0,77.0,65,2.55,MM,1669013054
178,muravlenko,63.7898,74.523,1.49,1.49,100,13.0,RU,1669013055
179,coihaique,-45.5752,-72.0662,39.81,39.15,0,2.3,CL,1669013055
180,waingapu,-9.6567,120.2641,86.88,86.88,46,9.28,ID,1669013056
